datetime,temp_c,dewpoint_c,wind_speed,wind_dir,precip_mm
2023-01-01 00:00:00,-8.4,-19.7,4.2,232.6,0.86
2023-01-01 01:00:00,-6.9,-12.4,0.94,289.3,0.0
2023-01-01 02:00:00,-7.2,-12.8,2.54,13.8,0.0
2023-01-01 03:00:00,-10.3,-20.3,5.87,250.3,0.0
2023-01-01 04:00:00,-9.7,-23.6,0.92,282.4,0.0
2023-01-01 05:00:00,-5.1,-13.2,5.21,319.6,0.0
2023-01-01 06:00:00,-1.7,-14.2,2.63,245.6,0.0
2023-01-01 07:00:00,-0.6,-6.3,5.67,234.1,0.0
2023-01-01 08:00:00,,-9.3,3.51,185.2,0.0
2023-01-01 09:00:00,3.0,-4.9,1.91,155.7,0.0
2023-01-01 10:00:00,3.9,-6.5,2.66,68.9,0.0
2023-01-01 11:00:00,1.9,-11.0,4.25,276.1,0.0
2023-01-01 12:00:00,1.3,-8.4,1.31,294.6,0.0
2023-01-01 13:00:00,6.3,0.1,5.6,308.0,0.0
2023-01-01 14:00:00,2.7,-2.8,3.05,324.0,0.0
2023-01-01 15:00:00,3.1,-6.3,3.38,287.7,0.0
2023-01-01 16:00:00,-2.7,-14.5,2.63,237.7,0.0
2023-01-01 17:00:00,-2.5,-13.2,2.79,29.4,0.0
2023-01-01 18:00:00,-6.0,-17.3,0.77,211.9,0.0
2023-01-01 19:00:00,-6.8,-12.6,4.18,335.4,0.0
2023-01-01 20:00:00,-5.1,-12.2,3.5,325.5,0.0
2023-01-01 21:00:00,-11.3,-21.6,3.26,258.4,0.0
2023-01-01 22:00:00,-10.6,-23.3,3.33,249.4,0.0
2023-01-01 23:00:00,-9.9,-23.5,5.22,294.1,0.0
2023-01-02 00:00:00,-11.8,-20.5,2.69,273.6,0.0
2023-01-02 01:00:00,-10.8,-17.0,4.79,1.8,0.0
2023-01-02 02:00:00,-10.0,-22.9,0.02,272.4,0.0
2023-01-02 03:00:00,-7.6,-17.6,2.37,325.5,0.0
2023-01-02 04:00:00,-7.9,-18.1,1.92,265.4,0.0
2023-01-02 05:00:00,-4.8,-10.5,3.16,274.1,0.76
2023-01-02 06:00:00,-3.4,-10.1,4.6,282.3,0.0
2023-01-02 07:00:00,-0.8,-14.1,4.66,262.1,0.0
2023-01-02 08:00:00,0.4,-5.2,,264.4,0.0
2023-01-02 09:00:00,4.8,-10.0,3.69,300.8,0.0
2023-01-02 10:00:00,1.2,-5.1,8.46,7.2,1.87
2023-01-02 11:00:00,5.7,-3.0,2.11,318.3,0.0
2023-01-02 12:00:00,2.7,-4.3,2.07,328.1,0.0
